State,Year,Crop,Temperature,Rainfall,Humidity,Soil_pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Area,Production,Yield
West Bengal,2023,Cotton,23.7,2289.8,88.7,7.15,82.7,14.4,88.3,0.7,334.2,214.35,0.64
Maharashtra,2013,Cotton,19.3,1289.7,55.6,6.19,137.2,57.6,41.7,2.3,383.8,576.98,1.5
Madhya Pradesh,2012,Maize,15.1,1382.1,53.5,7.42,86.3,30.2,19.5,1.23,291.3,577.81,1.98
Karnataka,2022,Cotton,26.3,1205.5,57.9,7.4,105.8,15.2,35.8,0.57,32.9,29.3,0.89
West Bengal,2019,Sugarcane,23.8,708.8,34.6,7.03,149.7,44.2,26.3,2.04,20.0,1124.01,56.29
Rajasthan,2014,Sugarcane,28.9,187.3,63.2,7.69,39.1,21.1,54.2,1.02,109.4,2116.15,19.35
Uttar Pradesh,2014,Maize,19.7,1051.2,49.7,6.3,115.8,61.6,95.5,0.62,143.9,877.11,6.09
West Bengal,2020,Wheat,36.5,178.8,37.3,4.99,38.1,61.9,39.5,0.79,203.0,140.36,0.69
Madhya Pradesh,2016,Rice,21.4,1398.7,58.0,6.74,129.1,68.9,65.1,0.28,38.9,164.73,4.23
Karnataka,2013,Wheat,20.7,802.9,30.2,5.56,97.5,36.4,90.3,0.41,362.9,1261.77,3.48
Maharashtra,2022,Wheat,27.0,1357.3,54.1,6.04,142.0,10.9,66.7,1.56,356.0,544.41,1.53
Madhya Pradesh,2013,Wheat,27.5,379.0,36.3,4.57,132.6,28.2,42.6,2.19,174.0,300.59,1.73
Madhya Pradesh,2018,Wheat,20.4,2334.9,31.5,6.03,29.7,42.7,99.2,1.23,281.9,380.27,1.35
Uttar Pradesh,2015,Soybean,21.8,2241.6,79.5,7.74,37.8,58.6,26.9,1.64,51.4,31.56,0.61
Tamil Nadu,2013,Rice,19.2,515.5,85.0,6.67,98.2,36.7,57.1,2.06,208.2,573.64,2.76
Karnataka,2011,Soybean,33.0,891.4,42.5,4.54,87.4,47.5,81.7,1.02,428.9,619.54,1.44
Haryana,2015,Cotton,34.3,1553.1,62.4,6.38,41.9,46.7,10.1,1.7,330.7,181.46,0.55
Madhya Pradesh,2011,Groundnut,26.6,284.4,46.7,5.67,36.8,21.5,73.2,1.01,52.9,45.54,0.86
Tamil Nadu,2014,Wheat,32.9,918.7,59.6,6.41,93.3,53.6,34.0,1.68,423.9,798.81,1.88
Haryana,2015,Groundnut,33.4,665.2,56.2,6.12,26.4,40.7,25.3,0.7,340.7,299.7,0.88
Karnataka,2013,Sugarcane,18.5,2293.0,46.1,8.23,133.6,66.6,34.7,2.45,227.1,9322.01,41.05
Punjab,2023,Maize,39.2,2138.7,72.0,4.66,124.9,58.3,97.0,0.38,346.4,454.15,1.31
Rajasthan,2022,Maize,35.5,1470.6,37.6,7.23,122.1,17.8,90.3,1.36,87.2,294.4,3.37
Tamil Nadu,2012,Soybean,20.1,1324.8,33.2,7.9,22.1,44.2,29.2,0.86,275.7,163.4,0.59
Gujarat,2016,Soybean,19.7,2330.3,76.1,8.34,26.2,59.2,20.5,1.58,309.3,112.03,0.36
Punjab,2011,Sugarcane,18.1,2334.4,70.0,5.21,91.5,16.1,42.8,1.19,463.9,9190.05,19.81
Rajasthan,2022,Wheat,18.5,2424.9,59.9,6.63,149.3,65.5,63.3,0.91,34.4,59.08,1.72
Uttar Pradesh,2020,Groundnut,33.7,357.2,58.1,4.67,64.5,25.5,88.0,0.78,188.0,142.9,0.76
West Bengal,2023,Groundnut,26.7,443.4,59.8,6.5,64.8,45.2,96.9,0.62,468.5,791.0,1.69
Maharashtra,2015,Rice,34.6,1708.0,56.2,5.0,37.5,75.8,77.6,2.0,109.4,234.3,2.14
Gujarat,2022,Cotton,33.7,1376.5,53.6,7.85,107.7,50.0,63.9,0.71,406.8,483.42,1.19
Uttar Pradesh,2013,Maize,30.1,95.2,60.0,4.96,104.1,39.7,22.8,1.98,1.8,2.67,1.48
Karnataka,2015,Cotton,32.2,201.8,61.7,6.55,33.2,10.5,16.7,1.32,13.9,8.24,0.59
Uttar Pradesh,2013,Rice,15.5,2225.8,71.5,6.58,80.8,19.3,63.6,0.37,164.5,258.72,1.57
West Bengal,2013,Soybean,22.8,2178.7,72.7,8.39,106.7,50.5,58.5,0.58,384.5,243.72,0.63
Karnataka,2013,Groundnut,30.9,925.3,52.7,7.12,84.2,44.6,86.1,2.25,53.0,79.9,1.51
Gujarat,2018,Maize,15.2,2233.1,54.8,5.65,107.7,35.5,39.0,1.59,192.0,361.04,1.88
West Bengal,2016,Cotton,15.8,1504.5,52.4,5.46,126.1,74.6,13.6,0.62,66.6,33.6,0.5
Haryana,2012,Soybean,36.3,2024.5,62.2,5.01,109.2,33.3,48.1,1.82,112.6,62.39,0.55
Maharashtra,2012,Rice,32.1,1097.2,57.2,7.53,100.1,47.6,97.2,2.09,252.0,993.81,3.94
Gujarat,2015,Cotton,21.6,327.8,83.4,7.26,131.0,49.8,81.6,0.96,160.3,265.71,1.66
Haryana,2015,Groundnut,32.2,1112.6,71.8,6.94,137.1,46.9,13.0,1.48,106.7,113.22,1.06
Rajasthan,2013,Wheat,34.8,1170.4,83.9,4.66,70.6,43.4,88.7,0.87,197.4,189.58,0.96
Gujarat,2018,Soybean,22.7,1399.8,72.5,7.55,42.5,33.6,52.5,0.38,350.8,243.92,0.7
Rajasthan,2013,Rice,15.9,308.7,88.3,7.07,126.3,73.6,42.8,1.12,60.6,135.86,2.24
Karnataka,2018,Cotton,38.3,2478.9,68.1,8.36,47.8,41.6,41.2,1.93,240.3,92.7,0.39
Haryana,2013,Groundnut,23.6,648.1,87.8,6.85,140.8,47.0,63.6,1.25,138.1,279.77,2.03
Maharashtra,2011,Wheat,17.7,536.5,39.5,5.72,23.0,56.0,57.8,1.13,189.9,425.34,2.24
West Bengal,2011,Wheat,27.3,1340.7,33.1,6.03,139.8,14.7,69.1,1.04,411.0,637.44,1.55
Madhya Pradesh,2014,Rice,34.2,1366.2,64.7,5.2,96.6,64.7,61.6,1.26,464.9,1259.22,2.71
Uttar Pradesh,2013,Sugarcane,20.5,1127.6,89.0,7.39,120.7,45.9,23.0,0.93,122.2,5584.55,45.68
Punjab,2016,Groundnut,21.7,1941.1,55.1,7.33,71.8,56.0,33.2,1.61,315.4,156.77,0.5
Maharashtra,2023,Groundnut,21.1,1315.8,42.7,5.3,148.9,64.0,85.7,0.35,338.7,185.81,0.55
Haryana,2020,Maize,39.8,1543.8,61.3,5.13,49.6,71.2,69.7,2.06,421.4,650.25,1.54
Madhya Pradesh,2014,Rice,19.9,1823.2,68.9,4.81,54.4,37.5,50.4,0.6,449.6,644.01,1.43
Maharashtra,2015,Wheat,29.4,111.3,48.9,8.15,26.7,66.8,26.4,1.66,234.5,192.3,0.82
Haryana,2019,Wheat,38.1,1448.1,72.9,5.43,142.3,28.1,10.7,1.23,491.3,263.94,0.54
Tamil Nadu,2013,Rice,18.7,2216.3,88.5,5.88,79.3,56.2,38.1,1.98,485.4,1295.12,2.67
Tamil Nadu,2022,Sugarcane,39.3,92.6,83.8,5.62,107.7,17.2,14.9,2.1,253.7,5656.73,22.29
Rajasthan,2021,Maize,38.7,1042.7,47.5,6.15,109.4,11.4,53.4,0.67,271.5,799.7,2.95
Maharashtra,2011,Cotton,37.1,2319.3,49.6,7.36,133.7,16.7,84.0,1.76,334.2,276.75,0.83
Tamil Nadu,2022,Rice,20.4,915.2,52.3,7.98,106.4,32.4,35.7,0.64,187.5,429.06,2.29
Haryana,2019,Maize,30.9,1173.9,53.7,5.23,93.1,12.2,86.3,0.49,331.4,639.14,1.93
Rajasthan,2018,Groundnut,34.0,2454.8,36.0,7.25,112.3,54.1,73.4,2.34,257.6,242.79,0.94
Haryana,2019,Maize,39.7,538.3,75.7,5.91,117.6,32.2,21.3,0.58,18.7,45.21,2.42
Rajasthan,2016,Soybean,19.5,209.9,51.9,8.42,44.2,61.5,68.0,0.72,426.5,428.14,1.0
Maharashtra,2013,Wheat,34.2,2155.6,82.8,5.7,34.3,13.2,23.7,0.5,470.3,264.58,0.56
Madhya Pradesh,2012,Cotton,23.5,2177.7,85.6,4.53,29.7,25.2,68.9,1.28,14.1,4.41,0.31
West Bengal,2019,Rice,19.4,1206.6,31.5,6.56,68.6,38.6,22.8,2.32,394.8,1023.03,2.59
Gujarat,2023,Wheat,25.5,1309.8,89.3,5.1,84.7,36.8,45.3,0.81,193.5,124.95,0.65
Madhya Pradesh,2012,Soybean,34.8,2097.7,72.6,4.68,100.0,19.2,61.0,1.45,293.2,146.05,0.5
Karnataka,2018,Soybean,26.6,1859.5,61.2,7.29,144.5,79.6,14.5,1.15,250.5,300.54,1.2
Haryana,2014,Wheat,28.4,699.6,53.4,7.43,63.0,29.9,23.8,0.97,276.1,531.43,1.92
Karnataka,2022,Sugarcane,39.9,91.4,61.1,6.34,118.9,60.5,38.8,1.52,248.1,9988.19,40.26
Madhya Pradesh,2012,Maize,25.0,1225.3,49.5,7.21,89.1,25.4,51.6,1.49,426.8,1641.36,3.85
Rajasthan,2014,Rice,30.4,2154.3,67.4,6.65,48.6,71.4,87.3,1.03,342.1,1084.81,3.17
Gujarat,2011,Rice,24.1,2244.8,35.6,7.02,100.0,37.1,26.9,2.16,206.9,491.29,2.37
Gujarat,2020,Rice,24.8,2392.8,67.3,6.89,145.7,73.1,41.3,0.32,344.6,980.14,2.84
Punjab,2013,Wheat,32.4,2204.9,46.5,7.16,36.2,33.9,52.8,0.4,482.6,352.77,0.73
Gujarat,2019,Groundnut,38.4,1471.1,31.1,5.3,85.9,10.6,36.6,2.48,41.1,10.67,0.26
West Bengal,2011,Sugarcane,28.6,1139.3,63.2,5.57,26.7,46.2,66.3,1.92,194.7,8402.12,43.16
Gujarat,2011,Cotton,34.2,1948.4,64.7,6.26,61.8,46.7,33.1,2.05,435.4,279.66,0.64
Madhya Pradesh,2021,Soybean,17.2,1862.6,55.6,6.28,100.7,18.4,79.5,1.59,369.8,355.22,0.96
Punjab,2017,Wheat,20.3,1368.5,34.3,7.6,129.3,26.4,55.5,1.17,467.5,599.59,1.28
Madhya Pradesh,2010,Groundnut,27.6,264.0,83.6,5.97,114.9,64.8,17.8,1.65,20.9,33.13,1.59
Madhya Pradesh,2023,Cotton,15.5,2318.9,66.7,5.15,80.2,12.6,66.4,0.41,431.5,101.18,0.23
Uttar Pradesh,2016,Soybean,21.3,1166.2,36.9,5.51,138.2,44.3,61.2,1.94,396.1,711.97,1.8
Punjab,2014,Soybean,27.9,940.2,60.7,5.36,59.4,47.1,40.5,1.44,407.7,472.27,1.16
Madhya Pradesh,2020,Sugarcane,15.4,1592.4,59.8,7.43,118.0,58.2,11.0,2.4,299.0,14438.08,48.28
Uttar Pradesh,2017,Maize,21.6,1700.9,33.6,6.38,81.6,12.6,28.1,1.67,26.9,43.43,1.61
Uttar Pradesh,2010,Rice,27.9,566.2,66.4,7.33,136.8,51.0,46.5,0.55,270.0,836.18,3.1
Punjab,2020,Cotton,29.3,2100.5,78.5,6.16,123.7,10.2,28.0,1.3,204.5,143.49,0.7
Karnataka,2016,Wheat,38.1,760.3,74.9,8.06,137.2,28.6,62.0,0.33,264.0,360.28,1.36
Rajasthan,2014,Cotton,31.1,507.4,42.2,8.43,47.9,45.0,74.1,1.91,370.4,416.91,1.13
West Bengal,2013,Maize,25.4,1045.7,81.7,7.18,106.9,73.8,87.0,1.35,298.4,2354.22,7.89
Rajasthan,2016,Rice,38.3,1839.9,50.6,7.96,116.0,18.9,68.2,1.05,147.0,405.04,2.76
Gujarat,2019,Cotton,34.6,2415.4,86.8,6.53,116.5,21.9,72.0,2.43,300.2,223.0,0.74
West Bengal,2011,Maize,20.0,2032.7,34.3,8.24,85.5,56.8,64.8,2.36,42.5,62.75,1.48
Gujarat,2021,Wheat,18.3,2353.9,59.2,7.83,21.5,36.2,98.7,2.39,3.7,5.27,1.43
Madhya Pradesh,2010,Sugarcane,31.9,394.5,65.8,8.47,54.0,53.6,33.5,0.71,201.4,4392.08,21.81
Haryana,2010,Groundnut,29.0,224.4,44.9,6.99,62.0,79.8,34.0,1.88,378.8,498.03,1.31
Punjab,2020,Soybean,34.7,1416.4,76.3,7.62,130.8,79.1,21.4,2.37,411.5,624.22,1.52
West Bengal,2021,Wheat,33.5,761.2,67.6,6.67,129.3,34.8,53.7,1.51,275.4,808.41,2.94
West Bengal,2010,Rice,30.6,2078.7,31.1,5.54,33.6,45.3,18.7,0.69,434.1,703.05,1.62
Madhya Pradesh,2021,Soybean,39.7,1696.4,66.5,5.92,143.5,73.3,34.3,2.08,63.8,74.24,1.16
Karnataka,2014,Groundnut,28.3,2428.3,59.5,8.08,43.7,16.5,53.4,2.22,482.1,155.45,0.32
Uttar Pradesh,2019,Wheat,17.8,674.2,41.8,4.72,73.9,41.7,96.2,1.82,461.0,1134.74,2.46
Madhya Pradesh,2016,Wheat,35.7,1240.2,89.7,6.87,48.0,36.4,96.7,0.88,300.0,297.04,0.99
Tamil Nadu,2011,Wheat,21.3,1278.0,83.8,5.99,131.8,30.6,76.9,0.64,30.3,47.11,1.55
Uttar Pradesh,2019,Wheat,34.4,636.0,47.6,6.05,117.4,79.6,45.0,1.64,227.6,880.49,3.87
Punjab,2017,Soybean,38.9,1495.7,62.5,8.04,66.0,61.3,87.9,1.31,90.5,56.59,0.63
Uttar Pradesh,2013,Rice,32.4,1136.1,49.0,7.92,108.6,37.2,88.8,1.74,314.6,1246.75,3.96
Karnataka,2021,Groundnut,29.9,1144.5,76.5,6.9,44.0,68.0,91.9,0.46,95.8,103.18,1.08
Uttar Pradesh,2012,Maize,26.5,938.7,85.8,5.59,69.7,44.3,67.6,0.51,241.4,1116.13,4.62
Punjab,2019,Cotton,24.1,91.5,51.5,6.4,69.0,71.1,28.2,1.03,103.6,82.95,0.8
Karnataka,2020,Sugarcane,23.8,1329.1,78.3,6.13,50.9,28.6,18.2,0.8,91.7,2716.05,29.61
Rajasthan,2017,Groundnut,30.9,871.4,59.9,5.91,133.9,25.7,92.3,1.62,124.7,227.88,1.83
West Bengal,2011,Cotton,33.8,53.2,53.8,4.91,108.2,27.3,15.0,1.05,15.6,8.02,0.52
